Recip_County,SVI_CTGY,Metro_status,Census2019
Clearfield,2,0,79255.0
Bristol,4,1,48479.0
Gloucester,4,1,291636.0
Breckinridge,2,0,20477.0
Medina,4,1,179746.0
Morgan,4,0,17884.0
Valley,4,0,11392.0
Hopewell city,1,1,22529.0
Ford,1,0,33619.0
Cass,4,1,105780.0
Chattooga,1,0,24789.0
Prairie,2,0,8062.0
Chaffee,4,0,20356.0
Citrus,2,1,149657.0
Warren,3,1,35649.0
Spartanburg,1,1,319785.0
Chase,3,0,2648.0
Madison,4,0,13261.0
Webster,2,0,9689.0
Houston,1,0,22968.0
Wabash,3,0,30996.0
Dakota,4,1,429021.0
Hancock,1,0,6620.0
Randolph,2,0,17958.0
Stanislaus,1,1,550660.0
Sebastian,1,1,127827.0
Cherokee,1,0,52646.0
Powell,3,0,6890.0
Dallas,1,0,7009.0
Rush,4,0,3036.0
Price,4,0,13351.0
Skamania,4,1,12083.0
Livingston,3,1,62914.0
Russell,4,0,6856.0
Tehama,1,0,65084.0
Hamilton,1,0,14428.0
Shelby,4,0,21634.0
Curry,3,0,22925.0
Jenkins,1,0,8676.0
Harrison,2,0,18886.0
Grimes,1,0,28880.0
Rincon Municipio,4,1,13656.0
Barranquitas Municipio,1,1,27725.0
Campbell,3,0,46341.0
Schoolcraft,2,0,8094.0
Leon,3,1,293582.0
Mineral,4,0,769.0
New London,3,1,265206.0
Burlington,4,1,445349.0
Adams,4,0,2216.0
Gallatin,4,0,114434.0
Muskegon,2,1,173566.0
Oregon,3,0,10529.0
Weston,3,0,6927.0
Klickitat,2,0,22425.0
Jefferson,4,0,32221.0
Forrest,1,1,74897.0
Rockingham,4,1,309769.0
Screven,1,0,13966.0
Sumter,1,0,12427.0
Kay,1,0,43538.0
Tom Green,2,1,119200.0
Douglas,2,0,110980.0
Kingsbury,4,0,4939.0
Laramie,3,1,99500.0
Kimble,2,0,4337.0
Yancey,2,0,18069.0
Lavaca,2,0,20154.0
Lee,1,0,16828.0
Schley,1,0,5257.0
Marion,1,1,347818.0
Ringgold,4,0,4894.0
Ontario,4,1,109777.0
Elko,2,0,52778.0
Prince Edward,2,0,22802.0
Beadle,2,0,18453.0
Geauga,4,1,93649.0
Athens,2,0,65327.0
Choctaw,1,0,14672.0
Aguadilla Municipio,2,1,50265.0
Carteret,3,0,69473.0
Centre,3,1,162385.0
Acadia Parish,1,1,62045.0
Unicoi,1,1,17883.0
Lake,4,0,12797.0
Cowley,2,0,34908.0
Stone,2,0,18336.0
